dataset,track_id,segment_id,split,start_s,end_s,duration_s,x_rms,x_peak,y_rms,y_peak,intent_mse,intent_cosine_sim,has_y_hat,y_hat_path,y_hat_rms,y_hat_peak,y_hat_snr,intent_error,renderer_quality_error,y_is_silent,renderer_target_all_zero,has_situation,situation_path,situation_shape,situation_is_finite,situation_min,situation_max,situation_mean,situation_std,has_intent_targets,intent_targets_path,intent_targets_shape,intent_targets_is_finite,intent_targets_min,intent_targets_max,intent_targets_mean,intent_targets_std,has_intent_pred,intent_pred_path,intent_pred_shape,intent_pred_is_finite,intent_pred_min,intent_pred_max,intent_pred_mean,intent_pred_std,has_renderer_target,renderer_target_path,renderer_target_shape,renderer_target_is_finite,renderer_target_min,renderer_target_max,renderer_target_mean,renderer_target_std,has_renderer_tokens,renderer_tokens_path,renderer_tokens_shape,renderer_tokens_is_finite,renderer_tokens_min,renderer_tokens_max,renderer_tokens_mean,renderer_tokens_std,token_min_id,token_max_id,expected_intent_frames,actual_intent_frames,alignment_ok,notes
slakh,Track00007,Track00007_1852200,train,42.0,48.0,6.0,0.07993099273172966,0.5917568802833557,0.06755314456766857,0.4189556837081909,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_1852200/situation.npy,"(32,)",True,-0.7998392581939697,1.345947504043579,0.3131471276283264,0.421390563249588,1,segments/slakh/Track00007/Track00007_1852200/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.2911885380744934,0.25990039110183716,0,,,,,,,,1,segments/slakh/Track00007/Track00007_1852200/renderer_target.npy,"(599, 882)",True,-0.30545663833618164,0.4189556837081909,-0.00010685814777389169,0.06745589524507523,0,,,,,,,,,,60,60,1,
slakh,Track00018,Track00018_1719900,val,39.0,45.0,6.0,0.0666191850965572,0.3842511773109436,0.022216469489204395,0.13276654481887817,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00001,Track00001_4233600,train,96.0,102.0,6.0,0.09420545613569223,0.7419326901435852,0.056177201187916054,0.25101515650749207,,,0,,,,,,,0,0,1,segments/slakh/Track00001/Track00001_4233600/situation.npy,"(32,)",True,0.0,0.9921147227287292,0.3869243562221527,0.31526774168014526,1,segments/slakh/Track00001/Track00001_4233600/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.25019437074661255,0.23159578442573547,0,,,,,,,,1,segments/slakh/Track00001/Track00001_4233600/renderer_target.npy,"(599, 882)",True,-0.23011189699172974,0.25101515650749207,-6.017988198436797e-05,0.056176383048295975,0,,,,,,,,,,60,60,1,
slakh,Track00015,Track00015_5953500,test,135.0,141.0,6.0,0.06155369315511229,0.6406670212745667,0.06701460377771193,0.31678643822669983,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00020,Track00020_9128700,val,207.0,213.0,6.0,0.05349220856210692,0.46770012378692627,0.0765259345133618,0.3791485130786896,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00013,Track00013_7805700,train,177.0,183.0,6.0,0.063971529967807,0.3524274230003357,0.0,0.0,,,0,,,,,,,1,1,1,segments/slakh/Track00013/Track00013_7805700/situation.npy,"(32,)",True,-0.9727586507797241,1.1267544031143188,0.34343165159225464,0.415185809135437,1,segments/slakh/Track00013/Track00013_7805700/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.1428571492433548,0.3499270975589752,0,,,,,,,,1,segments/slakh/Track00013/Track00013_7805700/renderer_target.npy,"(599, 882)",True,0.0,0.0,0.0,0.0,0,,,,,,,,,,60,60,1,All-zero renderer target
slakh,Track00007,Track00007_3572100,train,81.0,87.0,6.0,0.07773736467407412,0.6236329078674316,0.07151894660598408,0.5440455675125122,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_3572100/situation.npy,"(32,)",True,-0.7998392581939697,1.9493293762207031,0.3414851129055023,0.5388060212135315,1,segments/slakh/Track00007/Track00007_3572100/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.30838802456855774,0.2465859204530716,0,,,,,,,,1,segments/slakh/Track00007/Track00007_3572100/renderer_target.npy,"(599, 882)",True,-0.5440455675125122,0.3702545166015625,-0.00012297526700422168,0.07147377729415894,0,,,,,,,,,,60,60,1,
slakh,Track00010,Track00010_0,train,0.0,6.0,6.0,0.0589851178108182,0.5625905990600586,0.06302463469625251,0.5074523091316223,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00009,Track00009_3836700,train,87.0,93.0,6.0,0.06939191174852745,0.35769757628440857,0.05842499070983896,0.2284976840019226,,,0,,,,,,,0,0,1,segments/slakh/Track00009/Track00009_3836700/situation.npy,"(32,)",True,-0.8451901078224182,1.2724413871765137,0.29287803173065186,0.42608165740966797,1,segments/slakh/Track00009/Track00009_3836700/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.32241684198379517,0.2490982860326767,0,,,,,,,,1,segments/slakh/Track00009/Track00009_3836700/renderer_target.npy,"(599, 882)",True,-0.22232620418071747,0.2284976840019226,-0.00010116596968146041,0.05845502391457558,0,,,,,,,,,,60,60,1,
slakh,Track00009,Track00009_3969000,train,90.0,96.0,6.0,0.06965814296785076,0.36289140582084656,0.050734417289035154,0.18589593470096588,,,0,,,,,,,0,0,1,segments/slakh/Track00009/Track00009_3969000/situation.npy,"(32,)",True,-0.915773332118988,1.0618109703063965,0.2559190094470978,0.4032183587551117,1,segments/slakh/Track00009/Track00009_3969000/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.25333020091056824,0.2728777825832367,0,,,,,,,,1,segments/slakh/Track00009/Track00009_3969000/renderer_target.npy,"(599, 882)",True,-0.17082665860652924,0.18589593470096588,-9.999413305195048e-05,0.05075879395008087,0,,,,,,,,,,60,60,1,
slakh,Track00018,Track00018_8599500,val,195.0,201.0,6.0,0.08883250173937962,0.6111672520637512,0.05243533746915881,0.4431769549846649,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00005,Track00005_3175200,train,72.0,78.0,6.0,0.05593409890905459,0.49838435649871826,0.05179702700998813,0.28704380989074707,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00014,Track00014_11113200,train,252.0,258.0,6.0,0.07390780839350684,0.7574286460876465,0.09825138940323361,0.4850198030471802,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00005,Track00005_529200,train,12.0,18.0,6.0,0.08613647413534242,0.5215182304382324,0.03305531889045204,0.319972425699234,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00007,Track00007_0,train,0.0,6.0,6.0,0.047190002014950674,0.5507322549819946,0.04918438508347064,0.46502792835235596,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_0/situation.npy,"(32,)",True,-0.7998392581939697,1.5560792684555054,0.28806397318840027,0.44025981426239014,1,segments/slakh/Track00007/Track00007_0/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.20871785283088684,0.3206877112388611,0,,,,,,,,1,segments/slakh/Track00007/Track00007_0/renderer_target.npy,"(599, 882)",True,-0.46502792835235596,0.3987586498260498,-2.4325547201442532e-05,0.04920833557844162,0,,,,,,,,,,60,60,1,
slakh,Track00020,Track00020_5292000,val,120.0,126.0,6.0,0.057560838263171474,0.6054476499557495,0.07169353057526448,0.42477890849113464,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00004,Track00004_9525600,train,216.0,222.0,6.0,0.08149726153931425,0.7136210799217224,0.07741671709969769,0.5279088020324707,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00015,Track00015_7673400,test,174.0,180.0,6.0,0.0638043283264078,0.6365978121757507,0.08557848395987605,0.43051838874816895,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00013,Track00013_6218100,train,141.0,147.0,6.0,0.059833164482430326,0.3237936496734619,0.0,0.0,,,0,,,,,,,1,1,1,segments/slakh/Track00013/Track00013_6218100/situation.npy,"(32,)",True,-0.9727586507797241,1.091855764389038,0.3277238607406616,0.41022858023643494,1,segments/slakh/Track00013/Track00013_6218100/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.1428571492433548,0.3499270975589752,0,,,,,,,,1,segments/slakh/Track00013/Track00013_6218100/renderer_target.npy,"(599, 882)",True,0.0,0.0,0.0,0.0,0,,,,,,,,,,60,60,1,All-zero renderer target
slakh,Track00020,Track00020_529200,val,12.0,18.0,6.0,0.06150823316900286,0.4728586971759796,0.09059112579794407,0.4048078954219818,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00017,Track00017_5292000,train,120.0,126.0,6.0,0.05508324536336852,0.6403878927230835,0.1033420571737872,0.48461923003196716,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00003,Track00003_3836700,train,87.0,93.0,6.0,0.06694355706139081,0.4909861385822296,0.0687160546980963,0.33896031975746155,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00017,Track00017_3836700,train,87.0,93.0,6.0,0.059325254452427645,0.6220048069953918,0.08750888468716665,0.4579034745693207,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00013,Track00013_7541100,train,171.0,177.0,6.0,0.06391060838677125,0.346858412027359,0.0,0.0,,,0,,,,,,,1,1,1,segments/slakh/Track00013/Track00013_7541100/situation.npy,"(32,)",True,-0.9727586507797241,0.9851064085960388,0.3456621766090393,0.3913499116897583,1,segments/slakh/Track00013/Track00013_7541100/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.1428571492433548,0.3499270975589752,0,,,,,,,,1,segments/slakh/Track00013/Track00013_7541100/renderer_target.npy,"(599, 882)",True,0.0,0.0,0.0,0.0,0,,,,,,,,,,60,60,1,All-zero renderer target
slakh,Track00005,Track00005_1455300,train,33.0,39.0,6.0,0.03578566399855048,0.27617931365966797,0.06323922748419128,0.8912509083747864,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00012,Track00012_3836700,train,87.0,93.0,6.0,0.06320035801922512,0.4104345142841339,0.0750128241803788,0.45004549622535706,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00007,Track00007_9525600,train,216.0,222.0,6.0,0.07182500622455812,0.5704424381256104,0.08434105247633483,0.4631711542606354,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_9525600/situation.npy,"(32,)",True,-0.7998392581939697,2.254420042037964,0.45792919397354126,0.5864880084991455,1,segments/slakh/Track00007/Track00007_9525600/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.318681925535202,0.26824191212654114,0,,,,,,,,1,segments/slakh/Track00007/Track00007_9525600/renderer_target.npy,"(599, 882)",True,-0.4631711542606354,0.3777238726615906,-0.00015174903091974556,0.08437367528676987,0,,,,,,,,,,60,60,1,
slakh,Track00017,Track00017_5688900,train,129.0,135.0,6.0,0.05286872749433656,0.514299213886261,0.10428856166692305,0.4793205261230469,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00017,Track00017_0,train,0.0,6.0,6.0,0.01809794482890597,0.3248996138572693,0.033350069202426114,0.29029005765914917,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00009,Track00009_3042900,train,69.0,75.0,6.0,0.08904127598524286,0.577573835849762,0.09320373669372127,0.45409056544303894,,,0,,,,,,,0,0,1,segments/slakh/Track00009/Track00009_3042900/situation.npy,"(32,)",True,-0.9605181217193604,1.5545035600662231,0.28642404079437256,0.4713468849658966,1,segments/slakh/Track00009/Track00009_3042900/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.3252744674682617,0.27136966586112976,0,,,,,,,,1,segments/slakh/Track00009/Track00009_3042900/renderer_target.npy,"(599, 882)",True,-0.45409056544303894,0.4382801651954651,-0.0002275766310049221,0.09320681542158127,0,,,,,,,,,,60,60,1,
slakh,Track00005,Track00005_396900,train,9.0,15.0,6.0,0.08116311125927833,0.5215182304382324,0.029506188361462116,0.319972425699234,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00009,Track00009_4233600,train,96.0,102.0,6.0,0.07048974184297029,0.38662728667259216,0.049174090512569255,0.200397789478302,,,0,,,,,,,0,0,1,segments/slakh/Track00009/Track00009_4233600/situation.npy,"(32,)",True,-0.9605181217193604,1.0264825820922852,0.23469975590705872,0.39012113213539124,1,segments/slakh/Track00009/Track00009_4233600/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.286761611700058,0.27181339263916016,0,,,,,,,,1,segments/slakh/Track00009/Track00009_4233600/renderer_target.npy,"(599, 882)",True,-0.200397789478302,0.1834607571363449,-4.3854426621692255e-05,0.04916057735681534,0,,,,,,,,,,60,60,1,
slakh,Track00019,Track00019_7408800,train,168.0,174.0,6.0,0.07351173287748566,0.4036194980144501,0.08698119969709037,0.5063632130622864,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00013,Track00013_661500,train,15.0,21.0,6.0,0.07040368014976056,0.4713607430458069,0.046991823306526785,0.2512921690940857,,,0,,,,,,,0,0,1,segments/slakh/Track00013/Track00013_661500/situation.npy,"(32,)",True,0.0,1.3846620321273804,0.46448618173599243,0.38878071308135986,1,segments/slakh/Track00013/Track00013_661500/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.23885607719421387,0.25296589732170105,0,,,,,,,,1,segments/slakh/Track00013/Track00013_661500/renderer_target.npy,"(599, 882)",True,-0.2512921690940857,0.23903237283229828,-0.00013520880020223558,0.046987202018499374,0,,,,,,,,,,60,60,1,
slakh,Track00020,Track00020_7805700,val,177.0,183.0,6.0,0.05853050387679809,0.4880993068218231,0.08139312070048516,0.3620261251926422,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00017,Track00017_3704400,train,84.0,90.0,6.0,0.05337077308602706,0.5194835066795349,0.08928644281409664,0.4697639048099518,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00002,Track00002_1984500,test,45.0,51.0,6.0,0.056880711073618515,0.4366234242916107,0.059241457547033964,0.6444186568260193,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00001,Track00001_3439800,train,78.0,84.0,6.0,0.08669462048074823,0.5952039361000061,0.04173947625884271,0.20981597900390625,,,0,,,,,,,0,0,1,segments/slakh/Track00001/Track00001_3439800/situation.npy,"(32,)",True,0.0,0.996492862701416,0.3289373517036438,0.2895583212375641,1,segments/slakh/Track00001/Track00001_3439800/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.23252299427986145,0.282001256942749,0,,,,,,,,1,segments/slakh/Track00001/Track00001_3439800/renderer_target.npy,"(599, 882)",True,-0.18846456706523895,0.20981597900390625,-8.872478065313771e-05,0.041704483330249786,0,,,,,,,,,,60,60,1,
slakh,Track00007,Track00007_926100,train,21.0,27.0,6.0,0.07143772040957495,0.6185114979743958,0.05902882508841567,0.5207617282867432,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_926100/situation.npy,"(32,)",True,-0.7998392581939697,1.5159621238708496,0.3158867657184601,0.4444736838340759,1,segments/slakh/Track00007/Track00007_926100/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.27420878410339355,0.2862323522567749,0,,,,,,,,1,segments/slakh/Track00007/Track00007_926100/renderer_target.npy,"(599, 882)",True,-0.5207617282867432,0.34147655963897705,-0.0001327942736679688,0.05899161472916603,0,,,,,,,,,,60,60,1,
slakh,Track00007,Track00007_7011900,train,159.0,165.0,6.0,0.07300121979651389,0.5792783498764038,0.058204776404425014,0.43613874912261963,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_7011900/situation.npy,"(32,)",True,-0.7998392581939697,1.809494972229004,0.3269537389278412,0.5036927461624146,1,segments/slakh/Track00007/Track00007_7011900/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.28546276688575745,0.3087750971317291,0,,,,,,,,1,segments/slakh/Track00007/Track00007_7011900/renderer_target.npy,"(599, 882)",True,-0.3868853449821472,0.43613874912261963,-0.00011031513713533059,0.05823222175240517,0,,,,,,,,,,60,60,1,
slakh,Track00002,Track00002_6482700,test,147.0,153.0,6.0,0.054628850664046096,0.44503554701805115,0.08929417345484095,0.5935554504394531,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00007,Track00007_6482700,train,147.0,153.0,6.0,0.08436157598265528,0.5550920963287354,0.08714542589479127,0.5941833257675171,,,0,,,,,,,0,0,1,segments/slakh/Track00007/Track00007_6482700/situation.npy,"(32,)",True,-0.7998392581939697,1.5845202207565308,0.32897835969924927,0.46316877007484436,1,segments/slakh/Track00007/Track00007_6482700/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.3381059467792511,0.28223785758018494,0,,,,,,,,1,segments/slakh/Track00007/Track00007_6482700/renderer_target.npy,"(599, 882)",True,-0.4831743836402893,0.5941833257675171,-0.00010104899411089718,0.08718693256378174,0,,,,,,,,,,60,60,1,
slakh,Track00018,Track00018_4233600,val,96.0,102.0,6.0,0.0681927627366622,0.3260399401187897,0.05439332024701293,0.37784382700920105,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00004,Track00004_7011900,train,159.0,165.0,6.0,0.08554840144484686,0.6397227048873901,0.06868156442320822,0.380785197019577,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00004,Track00004_8334900,train,189.0,195.0,6.0,0.0782989337482509,0.7391484379768372,0.07110650506500175,0.5446019172668457,,,0,,,,,,,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,60,0,0,Missing situation.npy; Missing intent_targets.npy; Missing renderer_target.npy
slakh,Track00008,Track00008_1852200,train,42.0,48.0,6.0,0.038140779349285274,0.32370051741600037,0.08596878096971716,0.4100722372531891,,,0,,,,,,,0,0,1,segments/slakh/Track00008/Track00008_1852200/situation.npy,"(32,)",True,-0.7847993969917297,1.5043046474456787,0.393100380897522,0.4465062916278839,1,segments/slakh/Track00008/Track00008_1852200/intent_targets.npy,"(60, 7)",True,0.0,1.0,0.32752227783203125,0.24703475832939148,0,,,,,,,,1,segments/slakh/Track00008/Track00008_1852200/renderer_target.npy,"(599, 882)",True,-0.4100722372531891,0.34111329913139343,-0.0015164727810770273,0.0859421119093895,0,,,,,,,,,,60,60,1,
